dealer,totalQty
RAJD005250,8
RAJD005256,7
RAJD005305,5
RAJD005464,1
RAJD005480,25
RAJD005517,9
RAJD005620,7
RAJD005621,4
RAJD005646,4
RAJD005648,1
RAJD005675,3
RAJD005701,8
RAJD005714,5
RAJD005876,50
RAJD005895,20
RAJD005955,1
RAJD005989,17
RAJD006027,6
RAJD006134,1
RAJD006208,2
RAJD006356,7
RAJD006390,5
RAJD006400,4
RAJD006546,7
RAJD006547,3
RAJD006614,27
RAJD006620,1
RAJD006691,14
RAJD006910,1
RAJD006916,84
RAJD007157,5
RAJD007163,5
RAJD007213,5
RAJD007220,13
RAJD007402,1
RAJD007405,3
RAJD007410,17
RAJD007429,1
RAJD007576,2
RAJD007582,1
RAJD007607,2
RAJD007642,4
RAJD007790,1
RAJD007898,40
RAJD007977,3
RAJD008058,4
RAJD008220,5
RAJD008338,9
RAJD008364,1
RAJD008428,1
RAJD008458,2
RAJD008478,1
RAJD008484,4
RAJD008490,1
RAJD008552,5
RAJD008554,5
RAJD008557,3
RAJD008839,2
RAJD008879,19
RAJD009036,2
RAJD009221,3
RAJD009246,25
RAJD009269,3
RAJD009277,3
RAJD009278,6
RAJD009413,4
RAJD009415,2
RAJD009444,19
RAJD009547,33
RAJD009612,26
RAJD009680,15
RAJD009719,6
RAJD009781,5
RAJD009782,1
RAJD009874,19
RAJD010819,5
RAJD010847,3
RAJD010865,1
RAJD010939,1
RAJD010945,2
RAJD011070,2
RAJD011099,51
RAJD011139,1
RAJD011297,31
RAJD011320,3
RAJD011439,3
RAJD011466,6
RAJD011517,5
RAJD011649,1
RAJD011681,5
RAJD012129,3
RAJD012171,1
RAJD012181,1
RAJD012183,4
RAJD012190,5
RAJD012198,2
RAJD012307,8
RAJD012356,40
RAJD012363,3
RAJD012423,1
RAJD012427,43
RAJD012472,85
RAJD012478,6
RAJD012679,51
RAJD012682,3
RAJD012933,3
RAJD013037,6
RAJD013038,7
RAJD013043,1
RAJD013103,23
RAJD013202,6
RAJD013346,8
RAJD013470,39
RAJD013475,4
RAJD013503,7
RAJD013504,1
RAJD013535,11
RAJD013631,2
RAJD013646,9
RAJD013683,1
RAJD013700,3
RAJD013855,1
RAJD013900,22
RAJD014301,26
RAJD014323,2
RAJD014342,5
RAJD014344,10
RAJD014413,2
RAJD014563,58
RAJD014604,4
RAJD014608,6
RAJD014622,6
RAJD014745,4
RAJD014757,4
RAJD014786,3
RAJD014796,3
RAJD015008,4
RAJD015009,15
RAJD015106,4
RAJD015143,2
RAJD015227,35
RAJD015233,10
RAJD015236,7
RAJD015263,4
RAJD015299,3
RAJD015301,6
RAJD015302,4
RAJD015350,7
RAJD015351,1
RAJD015354,1
RAJD015373,39
RAJD015454,1
RAJD015469,1
RAJD015475,1
RAJD015476,2
RAJD015484,1
RAJD015499,2
RAJD015564,1
RAJD015565,49
RAJD015591,1
RAJD015631,12
RAJD015639,115
RAJD015662,3
RAJD015673,3
RAJD015687,3
RAJD015696,25
RAJD015711,10
RAJD015722,2
RAJD015734,2
RAJD015735,13
RAJD015762,37
RAJD015835,2
RAJD015891,43
RAJD015936,13
RAJD015968,40
RAJD015974,3
RAJD016001,2
RAJD016007,28
RAJD016012,5
RAJD016037,1
RAJD016044,2
RAJD016058,15
RAJD016064,2
RAJD016067,3
RAJD016078,8
RAJD016105,6
RAJD016120,1
RAJD016150,4
RAJD016172,3
RAJD016195,7
RAJD016207,14
RAJD016232,2
RAJD016250,6
RAJD016278,3
RAJD016358,1
RAJD016378,3
RAJD016447,1
RAJD016453,9
RAJD016454,17
RAJD016501,24
RAJD016504,1
RAJD016550,4
RAJD016554,5
RAJD016573,2
RAJD016601,3
RAJD016617,2
RAJD016618,22
RAJD016627,2
RAJD016681,15
RAJD016716,4
RAJD016726,1
RAJD016731,2
RAJD016925,324
RAJD016945,5
RAJD017011,3
RAJD017064,78
RAJD017070,60
RAJD017083,5
RAJD017095,6
RAJD017122,15
RAJD017136,5
RAJD017198,3
RAJD017211,14
RAJD017273,7
RAJD017289,35
RAJD017299,24
RAJD017343,98
RAJD017345,383
RAJD017360,19
RAJD017386,1
RAJD017396,1
RAJD017432,3
RAJD017482,3
RAJD017521,2
RAJD017665,2
RAJD017681,10
RAJD017693,2
RAJD017712,2
RAJD017713,9
RAJD017758,26
RAJD017759,10
RAJD017774,3
RAJD017783,1
RAJD017870,2
RAJD017874,5
RAJD017905,11
RAJD017909,1
RAJD017917,2
RAJD017978,7
RAJD018030,6
RAJD018070,4
RAJD018073,4
RAJD018089,3
RAJD018096,10
RAJD018129,8
RAJD018142,10
RAJD018153,28
RAJD018164,3
RAJD018171,11
RAJD018197,1
RAJD018292,4
RAJD018333,6
RAJD018341,74
RAJD018363,7
RAJD018369,31
RAJD018379,99
RAJD018395,2
RAJD018396,105
RAJD018397,270
RAJD018408,5
RAJD018439,8
RAJD018440,4
RAJD018441,9
RAJD018527,3
RAJD018539,12
RAJD018543,4
RAJD018580,7
RAJD018589,3
RAJD018602,8
RAJD018614,44
RAJD018637,1
RAJD018659,17
RAJD018660,3
RAJD018683,6
RAJD018685,5
RAJD018703,1
RAJD018762,5
RAJD018776,13
RAJD018824,124
RAJD018860,1
RAJD018897,12
RAJD018903,19
RAJD018922,1
RAJD018923,2
RAJD018933,2
RAJD019063,4
RAJD0425,8
RAJD0474,44
RAJD0514,1
RAJD0673,1
RAJD0691,104
RAJD0698,506
RAJD0737,3
RAJD0747,1
RAJD0758,35
RAJD0760,28
RAJD0778,27
RAJD0790,49
RAJD0818,45
RAJD0823,23
RAJD0839,75
RAJD1009,95
RAJD10205,27
RAJD10225,6
RAJD10239,5
RAJD1027,3
RAJD1030,99
RAJD10332,1
RAJD10337,18
RAJD10381,2
RAJD10383,1
RAJD10385,1
RAJD10511,13
RAJD1068,1
RAJD10682,2
RAJD10690,2
RAJD10697,10
RAJD10710,6
RAJD10805,16
RAJD10940,1
RAJD10966,18
RAJD11050,1
RAJD11176,5
RAJD11298,2
RAJD11385,1
RAJD11505,13
RAJD11506,1
RAJD12358,227
RAJD12376,6
RAJD12517,16
RAJD12553,15
RAJD12580,30
RAJD12650,2
RAJD12813,78
RAJD12977,1
RAJD13097,3
RAJD13098,21
RAJD13122,4
RAJD13150,19
RAJD13181,5
RAJD13269,57
RAJD13276,9
RAJD13342,1
RAJD13375,1
RAJD13704,2
RAJD13759,3
RAJD13839,102
RAJD13852,2
RAJD13860,1
RAJD13921,12
RAJD13922,2
RAJD13928,1
RAJD14062,36
RAJD14103,1
RAJD14134,2
RAJD14285,9
RAJD14295,16
RAJD14358,2
RAJD14455,66
RAJD14492,7
RAJD14529,3
RAJD14819,1
RAJD14822,10
RAJD14872,3
RAJD14874,31
RAJD15023,81
RAJD15142,6
RAJD15149,5
RAJD15170,3
RAJD15190,3
RAJD15209,84
RAJD15340,7
RAJD15360,4
RAJD15428,14
RAJD15449,37
RAJD15472,10
RAJD15692,3
RAJD15700,100
RAJD15703,2
RAJD15720,103
RAJD15721,3
RAJD15724,44
RAJD15753,4
RAJD15787,24
RAJD15946,19
RAJD15975,2
RAJD16021,6
RAJD16060,5
RAJD16067,128
RAJD16253,32
RAJD16262,4
RAJD16273,1
RAJD16291,2950
RAJD16305,13
RAJD16361,56
RAJD16388,1
RAJD16424,7
RAJD16450,2
RAJD16455,7
RAJD16459,7
RAJD16468,11
RAJD16488,1
RAJD16532,2
RAJD16550,1
RAJD16620,27
RAJD16634,3
RAJD16886,10
RAJD16953,2
RAJD16959,6
RAJD17010,1
RAJD17109,1
RAJD17137,83
RAJD17181,31
RAJD17192,48
RAJD17196,38
RAJD17255,28
RAJD17256,1
RAJD17277,1
RAJD17449,2
RAJD17530,1
RAJD17587,23
RAJD17591,7
RAJD17758,1
RAJD17896,8
RAJD2814,45
RAJD2816,2
RAJD2833,6
RAJD2840,86
RAJD3014,3
RAJD3213,23
RAJD3784,2
RAJD3819,36
RAJD3848,19
RAJD3984,1
RAJD4129,21
RAJD4131,4
RAJD4135,1
RAJD4137,4
RAJD4199,12
RAJD4278,8
RAJD4297,7
RAJD4415,72
RAJD4418,23
RAJD4421,75
RAJD4429,1
RAJD4435,5
RAJD4439,49
RAJD4472,15
RAJD4557,12
RAJD4923,3
RAJD5181,3
RAJD5182,23
RAJD5754,36
RAJD5755,1
RAJD5759,5
RAJD5789,20
RAJD5790,31
RAJD6076,5
RAJD6148,26
RAJD6149,33
RAJD6152,25
RAJD6156,32
RAJD6212,3
RAJD6218,2
RAJD6220,23
RAJD6231,4
RAJD6253,46
RAJD6254,51
RAJD6264,2
RAJD6266,3
RAJD6297,3
RAJD6299,3
RAJD6300,9
RAJD6327,5
RAJD6352,19
RAJD6385,9
RAJD6444,1
RAJD6540,17
RAJD6546,37
RAJD6580,117
RAJD6659,1
RAJD6701,10
RAJD6716,3
RAJD6727,10
RAJD6729,46
RAJD6837,13
RAJD6851,3
RAJD7004,3
RAJD7013,26
RAJD7178,23
RAJD7182,10
RAJD7203,20
RAJD7209,5
RAJD7216,1
RAJD7430,8
RAJD7451,61
RAJD7587,1
RAJD7691,4
RAJD7695,4
RAJD7701,33
RAJD7736,1
RAJD7864,24
RAJD7867,4
RAJD7868,45
RAJD7913,2
RAJD7924,7
RAJD8037,12
RAJD8323,1
RAJD8359,4
RAJD8361,69
RAJD8442,27
RAJD8466,7
RAJD8549,34
RAJD8699,8
RAJD8742,31
RAJD8763,1
RAJD8797,2
RAJD8813,14
RAJD8866,47
RAJD9047,28
RAJD9100,1
RAJD9112,188
RAJD9139,4
RAJD9190,47
RAJD9197,29
RAJD9271,1
RAJD9273,1
RAJD9306,20
RAJD9307,16
RAJD9359,15
RAJD9464,44
RAJD9467,2
RAJD9484,9
RAJD9553,15
RAJD9717,59
RAJD9872,42
RAJD9956,2
RAJD9978,41
